names
Dredge_fishing
Drifting_longlines
Fishing
Fixed_gear
Other_purse_seines
Pole_and_line
Pots_and_traps
Purse_seines
Seiners
Set_gillnets
Set_longlines
Squid_jigger
Trawlers
Trollers
Tuna_purse_seines
